epoch,train_loss,train_recall,val_loss,val_recall,seconds
1,0.8369271797482989,0.6810901358905811,0.7706566166934717,0.7739474569458241,16.370580673217773
2,0.5420692738495871,0.7971563294682136,0.5651336154911873,0.7034737103593708,16.589837074279785
3,0.472163317957863,0.8245091029695795,0.4824061389987403,0.7965404774147686,27.81668210029602
4,0.40909996604159865,0.8514857598424715,0.558301032501276,0.8469440807490913,20.232202291488647
5,0.36885582114948895,0.861028533185879,0.6048669233178036,0.8304660789038181,26.008856534957886
6,0.3321616243483112,0.8794954778001219,0.4803121990284324,0.854615005759058,24.63408660888672
7,0.29032637739349115,0.8912500731478314,0.45080236253634054,0.8634583482652104,23.2203528881073
8,0.2716304241032981,0.9028733432115643,0.5396642344705084,0.8535609552853067,23.70335364341736
9,0.25691961038194133,0.904434565531024,0.4924801497580673,0.8561860238897928,25.744252920150757
10,0.23325841735549224,0.9175843133204529,0.41786053243821253,0.8488021598499932,26.251445531845093
11,0.21843711619238831,0.9252018356627556,0.5043378831383333,0.8441936903717547,23.096630811691284
12,0.1939172693914434,0.92901680605507,0.4405764571350149,0.865187521892792,23.124036073684692
13,0.18217747959906663,0.9382316164869982,0.39809595344074067,0.8545122811929229,25.82069730758667
14,0.17676921302144444,0.9378929709313265,0.3722210494768755,0.8594139091768849,25.007713079452515
15,0.16775974565307292,0.9421326967309657,0.4403503824595261,0.827311844187569,22.828312635421753
16,0.16183338601391545,0.9420093653690419,0.44830193500713833,0.8678322446346552,24.57241463661194
17,0.14141365094837122,0.951072867767396,0.3951948249597904,0.8830013005603844,25.839205265045166
18,0.14902349654511876,0.949970131135298,0.4929118702876949,0.8380818647119085,25.510257720947266
19,0.12993965318298437,0.9566186262661545,0.4418289908047641,0.8551911275440212,21.10427188873291
20,0.12972778706361593,0.9533540008072613,0.4681712018084891,0.8533606510067461,23.45249342918396
21,0.1250086415982611,0.9579188255756105,0.48132288043167004,0.8366653640898589,26.541468620300293
22,0.12201522990477888,0.9588730116792791,0.46569050388222033,0.8696742479128474,26.81713628768921
23,0.11232746121344236,0.9629673346055536,0.4131285532486118,0.850092872343436,29.346189260482788
