epoch,train_loss,train_recall,val_loss,val_recall,seconds
1,1.3327863513974647,0.4534811666620075,1.1618787852008785,0.3466245916825118,40.12843155860901
2,1.1393098680972487,0.5536185753651595,1.4496703601516454,0.3689204123919569,44.639238595962524
3,1.0286210778492813,0.6069982660537564,1.0468591384831432,0.37758429274883853,42.65020203590393
4,0.9689639089356721,0.6200667087234217,0.9975724461156007,0.4548061259811808,31.31438946723938
5,0.9004810328093995,0.6760995148990441,0.8428009455710386,0.3442611400154621,31.658457040786743
6,0.8444597845514336,0.6874813427166967,1.10275480564365,0.5758904169887934,53.05533313751221
7,0.8253278110794205,0.703329280319824,0.7876321012291585,0.4414280563739318,46.819483518600464
8,0.7726050315433509,0.7111969137149421,1.4561423541521956,0.4446610376313755,51.63184428215027
9,0.766682645921067,0.7235129568116891,0.8078486998524286,0.5560551735305794,67.06053447723389
10,0.7380274871712734,0.7319640604383295,0.9650089445367324,0.5852156463082527,47.51508045196533
11,0.7140394596840408,0.7326403924596374,0.7125003968192413,0.5294906510095628,40.19506812095642
12,0.681779138655904,0.7574812652599295,0.7430233667030447,0.5050415508751401,43.098480463027954
13,0.6691116068138167,0.7629172633567394,0.6688530580484058,0.532198990437187,46.31645154953003
14,0.6126300201938235,0.7854031337753686,0.738644339166208,0.5427795503458075,46.263787508010864
15,0.6585437925769368,0.7660466834362537,0.7321212562487892,0.5988579389456528,40.456700563430786
16,0.6081831109619186,0.7763295239107063,0.8638351763595874,0.6460140356742375,43.86596322059631
17,0.567063544010793,0.7989146903199801,0.6650402643951343,0.5447157786414258,45.211801528930664
18,0.5609463902748427,0.8048412549506306,0.7091413773266615,0.6273343031961944,47.36116051673889
19,0.5398053644632838,0.7979327259477527,0.7332390328775816,0.5442947289607667,45.35920286178589
20,0.5726560366749811,0.7889920731359441,0.9638213144291116,0.6362549315001707,27.146037578582764
21,0.5859281244571939,0.798321171929057,0.6865338136312884,0.5978155630776517,10.320594072341919
22,0.5527177139595936,0.79888176643864,0.7764667320040475,0.5722009023032937,13.150882482528687
