epoch,distill_train_loss,val_recall,seconds
1,1.9955393686490293,0.45145993195288936,20.681373596191406
2,1.4363262450811234,0.5065692137320045,30.25534749031067
3,1.2330909756475228,0.5857619030206788,50.84014344215393
4,1.1418993076570383,0.6066574653321911,50.75340700149536
5,1.0317288940356606,0.5536800323171539,51.22841835021973
6,0.9824357770618938,0.6107438182995883,50.765236377716064
7,0.9573599085375892,0.5608209333667649,51.01368546485901
8,0.8820581843881526,0.5800132089401505,49.31618595123291
9,0.8735386156480355,0.547160144730702,49.71332240104675
10,0.8403555799545166,0.5836399635735529,49.29274868965149
11,0.8179996912269115,0.6105120381398134,49.821444272994995
12,0.79599274209944,0.6872621412203905,49.89817142486572
13,0.7738098138882058,0.5980550168202428,49.18018102645874
14,0.7657809379701805,0.5844143393440454,49.87579345703125
15,0.7375295028717509,0.612117870550297,102.78333759307861
16,0.7256721890863521,0.6228608109237552,47.7822642326355
17,0.7266057910816408,0.5842358769162191,54.73483681678772
18,0.6977317034796722,0.6333514699429574,57.65380835533142
