arch,trial,lr,batch_size,dropout,hidden_size,val_macro_recall
mfcc_cnn,0,0.0008558894657793092,16,0.2694619197355619,,0.47331714097661876
mfcc_cnn,1,0.001251280636913535,64,0.2533766075303111,,0.5942728250346504
mfcc_cnn,2,0.002213691468878238,64,0.12841442327915478,,0.5329152942323632
mfcc_cnn,3,0.0001406144869739008,32,0.4480048592987277,,0.47805100886632257
mfcc_cnn,4,0.004598786090752842,16,0.1473097703475733,,0.49987298627217447
mfcc_cnn,5,0.001222381083098316,32,0.26586477599620945,,0.5170710677894091
mfcc_cnn,6,0.00028149588426834934,16,0.10751592017454206,,0.5604566051665657
mfcc_cnn,7,0.001120325401917855,64,0.3727281196413934,,0.42765376035158836
logmel_crnn,0,0.0008558894657793092,16,0.2694619197355619,128,0.7508727968267898
logmel_crnn,1,0.004337446433452355,32,0.32721782443757297,32,0.6914056192844258
logmel_crnn,2,0.00010823069587789713,64,0.4914473368931056,32,0.5569700686739519
logmel_crnn,3,0.00015883444938205626,64,0.3087393287000287,128,0.6915953265495169
logmel_crnn,4,0.0005956425742609301,64,0.3448382890889686,64,0.6958160659437096
logmel_crnn,5,0.00040812494434612885,32,0.36670668617826707,32,0.6815883961219414
logmel_crnn,6,0.0003434814651388682,32,0.4953495352236905,64,0.7030727550373667
logmel_crnn,7,0.001287097523094339,32,0.16358783345820788,64,0.7438839507720597
