epoch,train_loss,train_recall,val_loss,val_recall,seconds
1,1.0557779487343766,0.53279152595507,0.7807615023974472,0.5916919980219674,18.464905261993408
2,0.7184663412168331,0.7041520352124984,0.6533795654070412,0.6436920767253808,17.524425268173218
3,0.5872030173381787,0.7672110068965307,0.5770311045919196,0.6590182748629655,18.19615387916565
4,0.5015384679513628,0.7962316574104835,0.6104419232898317,0.6278725742981118,17.157042980194092
5,0.4557470068334352,0.8265270863900065,0.5163732445125735,0.6752153015455121,18.297466278076172
6,0.4169332413757855,0.8313896364908404,0.5251769047054657,0.6500007351456014,16.347017288208008
7,0.3838994359335267,0.8490485517710384,0.46741840547186964,0.6712562886116857,19.617785453796387
8,0.3279832472799036,0.8715005536153111,0.4983301820249948,0.7412656463082528,16.287340879440308
9,0.28637394526556675,0.8953148137890248,0.47929689168358625,0.678459310683466,20.51622748374939
10,0.28623399541947475,0.898448704773088,0.4549511848855489,0.7576427780911985,16.6269474029541
11,0.2695546567815544,0.8981478195374132,0.4446144670215064,0.7135380778258357,20.426183938980103
12,0.22929579755334886,0.9205964450025587,0.4030474949281959,0.6849429473383619,16.19950222969055
13,0.23019772373055428,0.9266819421380305,0.4461478341527415,0.6942243903967906,21.55588173866272
14,0.22025127778582115,0.9212215872188091,0.4457816047192851,0.6862317439422749,16.026396989822388
15,0.18006537043544793,0.9494696972973877,0.4221334152238218,0.6966886928268455,21.19032573699951
16,0.18896823150697456,0.9316525681788674,0.4360311155991799,0.6544382547343934,16.305659770965576
